,comments
0,"Nice examples of thermal camera use.  Also, when you have a circuit that is not working, a thermal camera will often quickly tell you which component is responsible."
1,"How can anyone not love this guy, he is hilarious and brilliant."
2,the ability to see things in the dark just by their temperature difference is probably the coolest thing I've seen in a while
3,"I'm an HVAC tech, I could really use this to help show customers where their heat loss is happening."
4,this would be a really useful tool for hvac technicians. I can think of alot of uses for it in my trade. Just for tracing  malfunctioning parts it would be an awesome diagnostic tool
5,"Nice demo, thanks. I had been eyeballing these for looking for wildlife (or sasquatch!) at night in the woods. I wasn't sure the range would be far enough to be useful though. Looked like you were getting pretty outdoor range with it though. Now I want one for sure :>"
6,"You put yourself through so much pain to teach us, I'm honored"
7,4:17 is the part we’ve all been waiting for. 😂
8,This would be pretty useful to have as an EE student. Too bad about the price tag.
9,Also great for detecting areas that lack insulation in a home.
10,"No matter where he goes, everything explodes xD"
11,"I've had the seek thermal since it was first available and I love it I even got a macro lens for it to see more detail up close. You should try viewing the drain pipes under a sink with hot and cold water , it looks pretty neat . 
Also pouring hot water into the toilet or a bucket looks pretty nifty as well.. Good video , I am glad someone is as excited about it as I am ..:) Hopefully one day I'll be able to get the one with the high frame rate ."
12,I love your videos. My engineering and physics teachers have used your videos in class many times to explain stuff.
13,"I've loved your videos ever since I found your electric guitar video a couple years back.  Thank you for all the educational, and hilarious, moments!

Also the thermal sensor is awesome!  I'm applying for University soon, hoping to get into the ECE course there, do you have any tips regarding classes?"
14,"you read my mind with your heat seeing devices. I have been thinking of getting one to find out where the insulation has collapsed in my old home to minimize damage to the walls when I try and re insulate this summer (Winnipeg so no go in the winter). great looking product and as always, you make it fun and entertaining."
15,"I've been dying to get my hands on one of these. Between the literal drill holes in my walls to debugging overloaded power supply circuits. I've always wanted this tools in my workshop, but could never afford one on a college budget :/ Awesome Video!"
16,Hi Mehdi! Love your videos! I'd love to see more applications of cool electrical thingamajigs like this! I really like what Thomas Kim and Ludic Science do but you're much more entetaining :3
17,I've been having an issue with one room in the house being 10 degrees cooler when the door is shut in the window. I wasn't sure if the windows are leaking so this would be a good way to find where the air is going.
18,I wish I knew about this channel in 2016. I would have appreciated this more than any other human on earth.
19,Great video as always! I could use this to monitor heat output on the circuit boards I design as an EE student. Plus all of the other cool uses showed in the video.
20,Cool! I was thinking about how to convert heat loss to energy loss (GJ). Do you have any ideas? I was thinking about estimating the U-value of my house by using thermal imaging and also working on the Plank Law. Any thoughts on this? Thanks!
21,"Thanks for sharing this video! Like your video so much👍 I used to have an issue with heat loss in my home. Then, I bought Infiray T2S+ thermal camera. I think that it's also a great device to find all the heat loss points in the house. The imaging is quite good for such an affordable price."
22,"You need to get rid of MSX when scanning it masks too much. Then tighten up that level (from what I could tell the span was ok). Finally never, ever, ever say you’re looking at the temperature since this type of thermography is only qualitative. I could go into the multiple reasons for this but unless you’re using some thermocouples and or thermistors (ideally) don’t mention anything about temps. Just my 0.02$."
23,thanks for the videos !
24,Could this detect rodents through the cavity or in the roofspace by pointing at it from below?
25,Which unit are you using?  Any recommendation of which one to get for pro use and home use?
26,"I am not normal, how can I get one of these?"
27,Fantastic product and even better review! What a terrific way to start a Saturday!!
28,"Just to clarify, the 260B has a measuring range of -20C to 550C, they simply made a mistake on the packaging, new packaging is corrected. Very nice review btw! I will be recieving the 260E tomorrow, I can""t wait to try it out."
29,"What I like most about this is the fact you don't need a phone or computer to use it. On the down side, when the battery fails I wonder how difficult it would be to replace. Also with a fixed focus, I wonder how close it can focus. The real benefit for me would be analysis of circuit boards. Do you think this will focus closely enough to isolate transistors, capacitors, etc?"
